timestamp,steps,bpm
2021-01-20 8,19,64.1515
2021-01-20 9,0,63.7273
2021-01-20 10,178,72.901525
2021-01-20 11,304,69.87878333
2021-01-20 12,410,71
2021-01-20 13,393,78.27273333
2021-01-20 14,235,76.27274
2021-01-20 15,1600,92.16368
2021-01-20 16,528,87.13638333
2021-01-20 17,245,74.14285
2021-01-20 22,119,66.7091
2021-01-20 23,57,67.73333333
2021-01-22 0,0,59.27271667
2021-01-22 1,0,61.83638
2021-01-22 2,15,58.60606667
2021-01-22 3,7,59.47272
2021-01-22 4,0,57.80303333
2021-01-22 5,0,61.14544
2021-01-22 6,0,58.5
2021-01-22 7,85,62.69092
2021-01-22 8,0,64.39393333
2021-01-22 9,13,63.87274
2021-01-22 10,106,65.3091
2021-01-22 11,52,69.38418333
2021-01-22 13,60,75.1818
2021-01-22 14,100,68.96362
2021-01-22 15,0,66.75756667
2021-01-22 16,2935,98.4801
2021-01-22 17,2001,90.17968
2021-01-22 18,508,78.01818
2021-01-22 19,631,83.21818
2021-01-22 20,30,73.51515
2021-01-22 21,118,71.03636
2021-01-22 22,0,67.25756667
2021-01-22 23,17,67.51112
2021-01-23 0,182,66.01515
2021-01-23 1,17,60.05456
2021-01-23 2,0,59.54543333
2021-01-23 3,0,62.98182
2021-01-23 4,0,65.4091
2021-01-23 5,0,62.20002
2021-01-23 6,0,63.87878333
2021-01-23 7,0,63.25454
2021-01-23 8,0,63.98485
2021-01-23 9,34,64.65456
2021-01-23 10,93,65.8
2021-01-23 11,29,68.00606667
2021-01-23 12,9,63.63456
2021-01-23 13,40,63.45455
2021-01-23 14,7,62.27272
2021-01-23 15,0,61.63635
2021-01-23 16,1583,92.78803333
2021-01-23 17,4390,98.65454
2021-01-23 18,69,81.19696667
2021-01-23 21,4,82.5
2021-01-23 23,59,82.375
2021-01-24 0,8,64.15151667
2021-01-24 1,16,63.12728
2021-01-24 2,0,65.27273333
2021-01-24 3,0,63.58182
2021-01-24 4,0,61.5909
2021-01-24 5,0,63.7091
2021-01-24 6,211,67.63635
2021-01-24 7,51,65.36364
2021-01-24 8,19,67.59091667
2021-01-24 9,0,64.37274
2021-01-24 10,0,62.47274
2021-01-24 11,4,65.25758333
2021-01-24 12,7,65.49092
2021-01-24 13,0,67.42425
2021-01-24 14,254,68.58182
2021-01-24 15,129,66.89395
2021-01-24 16,0,63.78182
2021-01-24 17,19,61.77273333
2021-01-24 18,23,63.43183333
2021-01-24 20,3005,110.6973333
2021-01-24 21,1570,95.027275
2021-01-24 22,39,74.87876667
2021-01-24 23,15,66.49452
2021-01-25 0,60,64.34846667
2021-01-25 1,21,61.65454
2021-01-25 2,0,62.46968333
2021-01-25 3,0,62.21818
2021-01-25 4,0,60.5
2021-01-25 5,0,59.21818
2021-01-25 6,0,63.16666667
2021-01-25 7,0,63.83638
2021-01-25 8,32,68.22728333
2021-01-25 9,0,67.4909
2021-01-25 10,30,65.8182
2021-01-25 11,0,64.6515
2021-01-25 12,91,66.54355
2021-01-25 16,1922,101.7271667
2021-01-25 17,4840,122.07766
2021-01-25 18,0,80
2021-01-25 21,63,78.3636
2021-01-25 22,47,67.92423333
2021-01-25 23,71,65.71516
2021-01-26 0,0,66.31818333
2021-01-26 1,0,66.34546
2021-01-26 2,0,63.39396667
2021-01-26 3,0,63.4182
2021-01-26 4,51,65.21211667
2021-01-26 5,0,66.38182
2021-01-26 6,0,63.25758333
2021-01-26 7,0,64.56364
2021-01-26 8,55,66.43636
2021-01-26 9,0,66.81818333
2021-01-26 10,0,65.25456
2021-01-26 11,4,63.80305
2021-01-26 12,548,68.83634
2021-01-26 13,820,80.30756667
2021-01-26 14,246,76.3818
2021-01-26 15,182,72.86365
2021-01-26 16,41,71.67274
2021-01-26 17,68,72.40908333
2021-01-26 18,19,72.75636
2021-01-26 19,376,73.90908
2021-01-26 20,79,70.0303
2021-01-26 21,40,67.787125
2021-01-26 22,0,66.62121667
2021-01-26 23,22,64.27818
2021-01-27 0,17,65.16666667
