timestamp,steps,bpm
2021-04-04 09,2145,93
2021-04-04 10,2772,99
2021-04-04 13,262,83
2021-04-04 14,526,84
2021-04-04 17,1783,81
2021-04-04 19,0,67
2021-04-04 20,0,64
2021-04-04 22,130,67
2021-04-05 00,0,55
2021-04-05 01,0,53
2021-04-05 02,0,51
2021-04-05 03,137,57
2021-04-05 05,11,51
2021-04-05 07,1410,107
2021-04-05 10,441,72
2021-04-05 12,1555,91
2021-04-05 14,25,72
2021-04-05 17,200,70
2021-04-05 19,409,73
2021-04-05 20,58,68
2021-04-05 21,27,68
2021-04-05 23,0,53
2021-04-06 01,0,50
2021-04-06 03,7,47
2021-04-06 06,179,62
2021-04-06 11,32,67
2021-04-06 12,12,66
2021-04-06 14,15,72
2021-04-06 17,0,63
2021-04-06 19,157,76
2021-04-06 21,31,72
2021-04-07 00,1,53
2021-04-07 04,0,52
2021-04-07 06,279,69
2021-04-07 07,2648,93
2021-04-07 08,1363,83
2021-04-07 11,4,68
2021-04-07 12,659,71
2021-04-07 13,99,75
2021-04-07 14,257,76
2021-04-07 15,33,70
2021-04-07 17,515,71
2021-04-07 21,515,75
2021-04-07 23,8,58
2021-04-08 00,0,56
2021-04-08 03,29,57
2021-04-08 06,471,75
2021-04-08 08,727,84
2021-04-08 12,121,71
2021-04-08 13,332,72
2021-04-08 14,113,72
2021-04-08 17,6,66
2021-04-09 00,0,55
2021-04-09 01,0,53
2021-04-09 02,23,56
2021-04-09 11,1273,75
2021-04-09 14,218,71
2021-04-09 15,239,71
2021-04-09 17,632,73
2021-04-09 18,1108,75
2021-04-09 20,0,69
2021-04-09 21,896,75
2021-04-10 07,549,74
2021-04-10 10,160,80
2021-04-10 12,7,69
2021-04-10 16,37,61
2021-04-10 18,400,71
2021-04-10 20,68,72
2021-04-11 04,0,49
2021-04-11 08,21,65
2021-04-11 09,37,72
2021-04-11 11,89,71
2021-04-11 12,67,76
2021-04-11 20,63,64
2021-04-11 21,18,59
2021-04-12 08,397,88
2021-04-12 09,559,83
2021-04-12 10,407,79
2021-04-12 11,527,77
2021-04-12 16,12,69
2021-04-12 17,257,74
2021-04-12 18,219,77
2021-04-12 19,35,71
2021-04-12 21,564,75
2021-04-12 22,183,65
2021-04-13 02,0,50
2021-04-13 03,0,49
2021-04-13 05,0,53
2021-04-13 06,85,62
2021-04-13 09,21,79
2021-04-13 10,16,77
2021-04-13 12,471,73
2021-04-13 14,120,80
2021-04-13 16,565,76
2021-04-13 19,535,76
2021-04-13 23,0,53
2021-04-14 00,48,53
2021-04-14 02,0,50
2021-04-14 03,0,50
2021-04-14 04,0,51
2021-04-14 05,0,54
2021-04-14 06,69,62
2021-04-14 07,223,77
2021-04-14 12,724,88
2021-04-14 17,1663,86
2021-04-14 19,74,86
2021-04-14 20,350,86
2021-04-14 21,43,82
2021-04-14 23,0,68
2021-04-15 00,0,63
2021-04-15 02,0,65
2021-04-15 03,7,63
2021-04-15 05,0,58
2021-04-15 07,819,87
2021-04-15 12,35,72
2021-04-15 13,451,84
2021-04-15 20,560,75
2021-04-15 21,349,78
